zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
306332688,2245 W Irving Park Rd UNIT 2,Chicago,IL,60618,41.953754,-87.68542,595000.0,2.0,3.0,1800.0,CONDO
58369443,1243 S Wabash Ave APT 304,Chicago,IL,60605,41.86624,-87.625305,399900.0,2.0,2.0,1500.0,CONDO
2104820747,3920 N Lake Shore Dr APT 4N,Chicago,IL,60613,41.95414,-87.64598,375000.0,4.0,5.0,3000.0,CONDO
158753808,1414 N Mohawk St,Chicago,IL,60610,41.908028,-87.64249,2795000.0,5.0,6.0,5900.0,SINGLE_FAMILY
65565525,747 N Sedgwick St APT 4RS,Chicago,IL,60654,41.89613,-87.63835,425000.0,2.0,2.0,1500.0,CONDO
123560546,2246 W Medill Ave #2,Chicago,IL,60647,41.924282,-87.684875,449999.0,2.0,2.0,1250.0,CONDO
2084645571,2140 N Winchester Ave APT 2,Chicago,IL,60614,41.920876,-87.67668,549000.0,3.0,2.0,0.0,TOWNHOUSE
113951459,925 N Larrabee St APT 2S,Chicago,IL,60610,41.899445,-87.64272,875000.0,2.0,3.0,2200.0,CONDO
3573175,1701 W Wallen Ave APT 1A,Chicago,IL,60626,42.002327,-87.67294,130000.0,1.0,1.0,800.0,CONDO
80827380,222 N Columbus Dr APT 4803,Chicago,IL,60601,41.88652,-87.62102,750000.0,3.0,3.0,1700.0,CONDO
101303846,3133 N Lakewood Ave APT 4C,Chicago,IL,60657,41.93954,-87.66079,500000.0,2.0,2.0,0.0,CONDO
3663457,4947 W Grace St,Chicago,IL,60641,41.949455,-87.75159,399000.0,2.0,3.0,1381.0,SINGLE_FAMILY
3552655,7100 N Mankato Ave,Chicago,IL,60646,42.01042,-87.78048,599000.0,2.0,3.0,2450.0,SINGLE_FAMILY
253421720,367 W Locust St UNIT 202,Chicago,IL,60610,41.898705,-87.63821,999000.0,3.0,3.0,1900.0,CONDO
62010918,2717 N Wilton Ave APT 1S,Chicago,IL,60614,41.931374,-87.65223,879000.0,3.0,3.0,2400.0,CONDO
3651561,5718 W Wilson Ave,Chicago,IL,60630,41.964348,-87.77068,349000.0,2.0,5.0,0.0,SINGLE_FAMILY
58360130,5536 N Glenwood Ave APT 2F,Chicago,IL,60640,41.982807,-87.665344,719900.0,3.0,3.0,0.0,CONDO
80854820,4912 N Winthrop Ave #2,Chicago,IL,60640,41.97197,-87.6581,495000.0,2.0,3.0,1600.0,CONDO
2068981390,2212 N Nagle Ave,Elmwood Park,IL,60707,41.920486,-87.78693,224900.0,3.0,5.0,1224.0,SINGLE_FAMILY
70472037,910 S Michigan Ave APT 914,Chicago,IL,60605,41.870163,-87.62485,265000.0,1.0,1.0,1057.0,CONDO
65561843,2841 N Damen Ave #2,Chicago,IL,60618,41.933533,-87.67781,450000.0,2.0,2.0,1250.0,CONDO
306333696,5 N Oakley Blvd #304,Chicago,IL,60612,41.88148,-87.683624,400000.0,2.0,2.0,1150.0,CONDO
3711717,3717 N Fremont St #3,Chicago,IL,60613,41.949627,-87.65164,424500.0,1.0,2.0,1000.0,CONDO
2137017420,1225 S Harding Ave,Chicago,IL,60623,41.8654,-87.72358,400000.0,4.0,12.0,,MULTI_FAMILY
3637452,5415 W Carmen Ave,Chicago,IL,60630,41.97318,-87.76316,474900.0,2.0,3.0,1443.0,SINGLE_FAMILY
60261991,5101 W Montana St APT 6,Chicago,IL,60639,41.92483,-87.75396,231900.0,2.0,3.0,1250.0,CONDO
2080363834,1827 N Larrabee St #PENTHOUSE,Chicago,IL,60614,41.915447,-87.643234,1300000.0,2.0,3.0,2000.0,CONDO
3685427,4875 W Bloomingdale Ave,Chicago,IL,60639,41.912983,-87.7489,325000.0,2.0,4.0,1438.0,SINGLE_FAMILY
2062853206,233 E Erie St APT 910-909,Chicago,IL,60611,41.89397,-87.621475,350000.0,2.0,2.0,0.0,CONDO
87702641,2515 W Augusta Blvd APT 3S,Chicago,IL,60622,41.899082,-87.690094,230000.0,1.0,2.0,1000.0,CONDO
3736263,1947 N Kenmore Ave,Chicago,IL,60614,41.9174,-87.653984,1399900.0,4.0,4.0,2904.0,TOWNHOUSE
80823036,1728 W Huron St,Chicago,IL,60622,41.89445,-87.67086,1550000.0,4.0,5.0,4200.0,SINGLE_FAMILY
87716513,4976 N Milwaukee Ave APT 101,Chicago,IL,60630,41.97132,-87.764465,229000.0,1.0,2.0,1000.0,CONDO
3846370,52 E Cedar St,Chicago,IL,60611,41.902695,-87.62629,1999995.0,7.0,5.0,4916.0,SINGLE_FAMILY
58368890,130 S Canal St APT 9M,Chicago,IL,60606,41.87949,-87.639984,600000.0,3.0,3.0,2156.0,CONDO
62013338,625 W Jackson Blvd APT 610,Chicago,IL,60661,41.87781,-87.643394,275000.0,1.0,1.0,800.0,CONDO
3551868,6453 N Sayre Ave,Chicago,IL,60631,41.999557,-87.80106,349000.0,2.0,3.0,1153.0,SINGLE_FAMILY
71327232,3934 W Montrose Ave,Chicago,IL,60618,41.961235,-87.726776,215900.0,2.0,3.0,1400.0,SINGLE_FAMILY
3652976,4242 N Marmora Ave,Chicago,IL,60634,41.958015,-87.77478,340000.0,1.0,2.0,1232.0,SINGLE_FAMILY
80841341,6144 N Washtenaw Ave APT 1,Chicago,IL,60659,41.99351,-87.69742,209900.0,2.0,2.0,1119.0,CONDO
3875523,919 W 18th Pl,Chicago,IL,60608,41.85724,-87.649124,425000.0,2.0,3.0,2200.0,SINGLE_FAMILY
