Zipcode,Unemployed,people who prefered to walk,Mean travel time to work (minutes),Mean household income (dollars),Per capita income (dollars),Employed and With private health insurance,,,,,,,,,,,,,,,,,,,,,
60601,219,"3,593",26.6,"250,335","148,250","9,648",,,,,,,,,,,,,,,,,,,,,
Estimate,219,"3,593",26.6,"250,335","148,250","9,648",,,,,,,,,,,,,,,,,,,,,
Percent,1.5%,32.9%,N/A,N/A,N/A,94.8%,,,,,,,,,,,,,,,,,,,,,
60602,40,283,27.1,"126,923","61,263",733,,,,,,,,,,,,,,,,,,,,,
Estimate,40,283,27.1,"126,923","61,263",733,,,,,,,,,,,,,,,,,,,,,
Percent,4.1%,35.0%,N/A,N/A,N/A,90.8%,,,,,,,,,,,,,,,,,,,,,
60603,26,265,23.4,"192,215","124,507",584,,,,,,,,,,,,,,,,,,,,,
Estimate,26,265,23.4,"192,215","124,507",584,,,,,,,,,,,,,,,,,,,,,
Percent,2.4%,37.1%,N/A,N/A,N/A,96.1%,,,,,,,,,,,,,,,,,,,,,
60604,51,56,25.4,"182,244","106,195",321,,,,,,,,,,,,,,,,,,,,,
Estimate,51,56,25.4,"182,244","106,195",321,,,,,,,,,,,,,,,,,,,,,
Percent,7.8%,14.4%,N/A,N/A,N/A,98.5%,,,,,,,,,,,,,,,,,,,,,
60605,"2,411","1,942",28.0,"154,389","85,890","18,820",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,411","1,942",28.0,"154,389","85,890","18,820",,,,,,,,,,,,,,,,,,,,,
Percent,7.7%,9.5%,N/A,N/A,N/A,94.1%,,,,,,,,,,,,,,,,,,,,,
60606,94,"1,503",19.6,"192,142","143,682","2,948",,,,,,,,,,,,,,,,,,,,,
Estimate,94,"1,503",19.6,"192,142","143,682","2,948",,,,,,,,,,,,,,,,,,,,,
Percent,2.8%,48.4%,N/A,N/A,N/A,96.0%,,,,,,,,,,,,,,,,,,,,,
60607,"1,222","5,009",23.5,"169,954","85,279","18,154",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,222","5,009",23.5,"169,954","85,279","18,154",,,,,,,,,,,,,,,,,,,,,
Percent,4.4%,25.5%,N/A,N/A,N/A,93.5%,,,,,,,,,,,,,,,,,,,,,
60608,"3,380","1,553",30.1,"90,495","33,558","28,986",,,,,,,,,,,,,,,,,,,,,
Estimate,"3,380","1,553",30.1,"90,495","33,558","28,986",,,,,,,,,,,,,,,,,,,,,
Percent,4.9%,4.0%,N/A,N/A,N/A,76.8%,,,,,,,,,,,,,,,,,,,,,
60609,"4,051",784,33.0,"74,628","27,262","17,515",,,,,,,,,,,,,,,,,,,,,
Estimate,"4,051",784,33.0,"74,628","27,262","17,515",,,,,,,,,,,,,,,,,,,,,
Percent,8.1%,2.8%,N/A,N/A,N/A,65.0%,,,,,,,,,,,,,,,,,,,,,
60610,"1,176","6,047",26.4,"172,895","104,469","26,107",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,176","6,047",26.4,"172,895","104,469","26,107",,,,,,,,,,,,,,,,,,,,,
Percent,2.8%,20.0%,N/A,N/A,N/A,92.0%,,,,,,,,,,,,,,,,,,,,,
60611,724,"6,407",25.3,"201,700","133,057","21,844",,,,,,,,,,,,,,,,,,,,,
Estimate,724,"6,407",25.3,"201,700","133,057","21,844",,,,,,,,,,,,,,,,,,,,,
