zpid,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType
3995566,6530 S Marshfield Ave,Chicago,IL,60636,41.77488,-87.66571,344900.0,3.0,7.0,2396.0,SINGLE_FAMILY
2108753658,953 E 61st St #3,Chicago,IL,60637,41.78394,-87.602295,145900.0,1.0,1.0,0.0,CONDO
4016285,8523 S Racine Ave,Chicago,IL,60620,41.739044,-87.65307,75000.0,2.0,2.0,994.0,SINGLE_FAMILY
4003930,1302 E 72nd St,Chicago,IL,60619,41.764446,-87.593124,305000.0,2.0,4.0,,MULTI_FAMILY
2055888862,6150 S Champlain Ave,Chicago,IL,60637,41.783047,-87.60963,975000.0,6.0,9.0,,MULTI_FAMILY
4118622,8924 S Parnell Ave,Chicago,IL,60620,41.731823,-87.63777,139900.0,2.0,5.0,0.0,SINGLE_FAMILY
2080856187,8141 S Avalon Ave,Chicago,IL,60619,41.7465,-87.593796,279000.0,2.0,4.0,2000.0,SINGLE_FAMILY
54542106,39 E 89th St,Chicago,IL,60619,41.73246,-87.62244,300000.0,2.0,3.0,1925.0,SINGLE_FAMILY
4122208,9115 S May St,Chicago,IL,60620,41.72812,-87.651535,344900.0,3.0,4.0,1600.0,SINGLE_FAMILY
4011078,7631 S Seeley Ave,Chicago,IL,60620,41.754734,-87.67413,333300.0,2.0,4.0,1200.0,SINGLE_FAMILY
2133796037,7948 S Union Ave,Chicago,IL,60620,41.749256,-87.64191,179900.0,2.0,6.0,,MULTI_FAMILY
65576498,6547 S Woodlawn Ave #2,Chicago,IL,60637,41.77543,-87.59566,204900.0,2.0,3.0,1700.0,CONDO
2143667858,6443 S Morgan St,Chicago,IL,60621,41.776577,-87.64921,405000.0,3.0,10.0,,MULTI_FAMILY
2060511349,6342 S Sangamon St,Chicago,IL,60621,41.778416,-87.64875,175000.0,2.0,4.0,,MULTI_FAMILY
89884521,6619 S Ellis Ave,Chicago,IL,60637,41.774414,-87.60058,289900.0,3.0,4.0,2929.0,SINGLE_FAMILY
4131346,9923 S Wallace St,Chicago,IL,60628,41.71353,-87.6378,155000.0,2.0,3.0,1250.0,SINGLE_FAMILY
4000318,1311 E 69th St,Chicago,IL,60637,41.76963,-87.593475,121000.0,2.0,3.0,3125.0,SINGLE_FAMILY
4016674,8016 S Emerald Ave,Chicago,IL,60620,41.74829,-87.64312,149000.0,1.0,2.0,1000.0,TOWNHOUSE
4120289,8721 S Loomis St,Chicago,IL,60620,41.73514,-87.657814,329900.0,3.0,4.0,1500.0,SINGLE_FAMILY
2071988333,7833 S Avalon Ave,Chicago,IL,60619,41.752174,-87.59394,85000.0,2.0,2.0,,MULTI_FAMILY
4130941,9627 S La Salle St,Chicago,IL,60628,41.71908,-87.62705,130000.0,2.0,2.0,1978.0,SINGLE_FAMILY
4014953,7947 S May St,Chicago,IL,60620,41.74913,-87.652145,119900.0,2.0,3.0,1408.0,SINGLE_FAMILY
4002714,7738 S Bennett Ave,Chicago,IL,60649,41.75404,-87.578835,379000.0,3.0,4.0,2912.0,SINGLE_FAMILY
4133564,9818 S Calumet Ave,Chicago,IL,60628,41.715755,-87.61555,259000.0,3.0,1.0,1200.0,SINGLE_FAMILY
2139054810,7512 S Peoria St,Chicago,IL,60620,41.75724,-87.646965,284900.0,2.0,4.0,,MULTI_FAMILY
4132185,9953 S Perry Ave,Chicago,IL,60628,41.712856,-87.6257,194900.0,2.0,3.0,1080.0,SINGLE_FAMILY
4006947,7316 S Perry Ave,Chicago,IL,60621,41.761276,-87.6285,145000.0,2.0,5.0,,MULTI_FAMILY
159040101,6511 S Minerva Ave,Chicago,IL,60637,41.77641,-87.59697,119900.0,,,,LOT
441103396,6828 S Normal Blvd,Chicago,IL,60621,41.769913,-87.63765,399000.0,5.0,13.0,,MULTI_FAMILY
4014358,8633 S Hermitage Ave,Chicago,IL,60620,41.73658,-87.66638,170000.0,1.0,3.0,1200.0,SINGLE_FAMILY
4122361,9240 S Aberdeen St,Chicago,IL,60620,41.725643,-87.65098,289900.0,2.0,3.0,1200.0,SINGLE_FAMILY
4128429,9818 S Peoria St,Chicago,IL,60643,41.715332,-87.64583,260000.0,2.0,4.0,1200.0,SINGLE_FAMILY
2075723991,5936 S King Dr UNIT 3,Chicago,IL,60637,41.786247,-87.61654,199000.0,2.0,3.0,1700.0,CONDO
4117395,9432 S Forest Ave,Chicago,IL,60619,41.722645,-87.61693,319900.0,3.0,3.0,1400.0,SINGLE_FAMILY
347944011,7131 S Yale Ave,Chicago,IL,60621,41.764435,-87.63064,173500.0,4.0,11.0,,MULTI_FAMILY
2142214865,7533 S Dorchester Ave,Chicago,IL,60619,41.757717,-87.59041,269900.0,2.0,4.0,,MULTI_FAMILY
2136148503,9134 S Avalon Ave,Chicago,IL,60619,41.728436,-87.59406,349990.0,2.0,6.0,,MULTI_FAMILY
4009325,7618 S Carpenter St,Chicago,IL,60620,41.755386,-87.650566,170000.0,2.0,5.0,1150.0,SINGLE_FAMILY
4004744,7227 S Indiana Ave,Chicago,IL,60619,41.762962,-87.61955,275000.0,3.0,5.0,3100.0,SINGLE_FAMILY
3996882,6951 S Hermitage Ave,Chicago,IL,60636,41.76702,-87.667175,100000.0,1.0,3.0,3125.0,SINGLE_FAMILY
4121082,8836 S Carpenter St,Chicago,IL,60620,41.73301,-87.64997,265000.0,2.0,4.0,1544.0,SINGLE_FAMILY
